condition,run,seed,mean_beta,popularity_strength,exploration,mu_content,mu_social,mean_epsilon,mean_susceptibility,homophily_strength,rewiring_fraction,rewire_interval,dynamic_stubbornness,consolidation_strength,initial_variance,final_variance,variance_change,initial_pairwise_distance,final_pairwise_distance,pairwise_distance_change,final_extremity,polarization_score,ever_flip_fraction,persistent_flip_fraction,mean_crossings,maximum_crossings,mean_edge_distance,same_side_edge_fraction,final_clustering
Diverse weak-personalization environment,0,15094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.42988541247388395,0.04243462562975592,0.6933205503850062,0.7215269387673778,0.02820638838237166,0.6326000808221639,0.45643799977961175,0.05,0.04,0.08,3,0.5479309606059689,0.6333333333333333,0.42692857142857144
Diverse weak-personalization environment,1,16094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.43912741989106585,0.051676633046937814,0.6933205503850062,0.7144315662897982,0.02111101590479203,0.6478169049622702,0.46282084608120405,0.03,0.02,0.06,4,0.5443289313878679,0.6166666666666667,0.4197142857142855
Diverse weak-personalization environment,2,17094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.4412899708082149,0.05383918396408688,0.6933205503850062,0.7134712776268396,0.02015072724183342,0.6527053836320207,0.4656865439738543,0.05,0.04,0.08,4,0.5343905767171634,0.6533333333333333,0.4237142857142859
Diverse weak-personalization environment,3,18094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.4439984017880124,0.05654761494388438,0.6933205503850062,0.7225679688436898,0.029247418458683616,0.645927812633054,0.46672674759391325,0.07,0.05,0.07,1,0.5189005315929,0.6550522648083623,0.42392857142857143
Diverse weak-personalization environment,4,19094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.4444943344947025,0.057043547650574455,0.6933205503850062,0.7181542619068896,0.024833711521883406,0.6502316147408681,0.46696660535275314,0.06,0.05,0.07,2,0.5290298110304242,0.6564625850340136,0.4412936507936508
Diverse weak-personalization environment,5,20094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.4498923910758899,0.06244160423176187,0.6933205503850062,0.7214646370732081,0.028144086688201897,0.6573986516128355,0.47428987959827074,0.05,0.04,0.08,4,0.548487480950344,0.63,0.4113333333333334
Diverse weak-personalization environment,6,21094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.442913871134607,0.05546308429047897,0.6933205503850062,0.7186354659315867,0.025314915546580496,0.6509914178552915,0.46782552088790164,0.04,0.04,0.06,3,0.5428684752921007,0.62,0.43276190476190474
Diverse weak-personalization environment,7,22094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.45584249822089284,0.06839171137676481,0.6933205503850062,0.7230716876036704,0.02975113721866418,0.6604352897957998,0.47754205954566803,0.03,0.02,0.03,1,0.5680023871159731,0.6075085324232082,0.4315238095238094
Diverse weak-personalization environment,8,23094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.4517044405107381,0.06425365366661007,0.6933205503850062,0.7193824480854911,0.02606189770048495,0.662605893823941,0.47666705001494164,0.02,0.02,0.04,3,0.5693819167295643,0.6133333333333333,0.42460317460317454
Diverse weak-personalization environment,9,24094,1.0,0.2,0.3,0.2,0.1,0.75,0.4,0.5,0.01,25,False,0.0,0.38745078684412804,0.4847636688134746,0.09731288196934657,0.6933205503850062,0.738613071461172,0.04529252107616588,0.688517539887152,0.5085480548909393,0.02,0.02,0.08,5,0.581309530702395,0.62,0.4229047619047619
