condition,run,seed,mean_beta,popularity_strength,exploration,mu_content,mu_social,mean_epsilon,mean_susceptibility,homophily_strength,rewiring_fraction,rewire_interval,consolidation_strength,dynamic_stubbornness,initial_variance,final_variance,variance_change,initial_pairwise_distance,final_pairwise_distance,pairwise_distance_change,final_extremity,polarization_score,ever_flip_fraction,persistent_flip_fraction,mean_crossings,maximum_crossings,mean_edge_distance,same_side_edge_fraction,final_clustering,mean_beta_level,popularity_strength_level,exploration_level,mu_content_level,mu_social_level,mean_epsilon_level,mean_susceptibility_level,homophily_strength_level,rewiring_fraction_level,rewire_interval_level,consolidation_strength_level
search_000,0,13869,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,0.0,False,0.38745078684412804,0.4287248972133863,0.041274110369258266,0.6933205503850062,0.7118922831546985,0.018571732769692373,0.6392440848419829,0.45507293105129504,0.05,0.03,0.13,4,0.16668254865983384,0.93,0.2002813852813852,weak,moderate,moderate,strong,weak,broad,resistant,moderate,moderate,frequent,none
search_000,1,14869,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,0.0,False,0.38745078684412804,0.41438335165771584,0.0269325648135878,0.6933205503850062,0.7020204851114066,0.008699934726400405,0.623515330515716,0.4377205348030419,0.04,0.01,0.15,5,0.19155419635523455,0.9060402684563759,0.20535353535353537,weak,moderate,moderate,strong,weak,broad,resistant,moderate,moderate,frequent,none
search_000,2,15869,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,0.0,False,0.38745078684412804,0.41150352446354893,0.024052737619420894,0.6933205503850062,0.7001781188146385,0.006857568429632366,0.622247226945029,0.43568389279999586,0.04,0.02,0.16,7,0.17596118801707356,0.94,0.2083246753246753,weak,moderate,moderate,strong,weak,broad,resistant,moderate,moderate,frequent,none
search_000,3,16869,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,0.0,False,0.38745078684412804,0.4196010183357732,0.03215023149164514,0.6933205503850062,0.7037857547971235,0.01046520441211729,0.6331721829282076,0.445617562678671,0.02,0.01,0.07,5,0.19009040795593105,0.9166666666666666,0.19506349206349197,weak,moderate,moderate,strong,weak,broad,resistant,moderate,moderate,frequent,none
search_000,4,17869,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,0.0,False,0.38745078684412804,0.4226469316968894,0.035196144852761346,0.6933205503850062,0.704804055311553,0.011483504926546817,0.6333091885943625,0.4463588843873758,0.04,0.01,0.2,9,0.15642684264981868,0.9523809523809523,0.21353318903318885,weak,moderate,moderate,strong,weak,broad,resistant,moderate,moderate,frequent,none
search_000,5,18869,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,0.0,False,0.38745078684412804,0.4242211412784947,0.03677035443436666,0.6933205503850062,0.7052903318971839,0.011969781512177757,0.6356904060077082,0.44834629743703214,0.02,0.01,0.12,7,0.15926933428691364,0.9491525423728814,0.2140281385281385,weak,moderate,moderate,strong,weak,broad,resistant,moderate,moderate,frequent,none
search_000,6,19869,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,0.0,False,0.38745078684412804,0.42204290104276376,0.034592114198635726,0.6933205503850062,0.7109051317076859,0.017584581322679704,0.633357304914416,0.4502569582682079,0.05,0.04,0.2,7,0.13815783977918894,0.9566666666666667,0.23446320346320332,weak,moderate,moderate,strong,weak,broad,resistant,moderate,moderate,frequent,none
search_000,7,20869,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,0.0,False,0.38745078684412804,0.43184480100674216,0.044394014162614126,0.6933205503850062,0.7082387901078372,0.014918239722831017,0.6435117258957167,0.45575996616858855,0.02,0.0,0.08,6,0.13563345581765604,0.9433333333333334,0.20116161616161604,weak,moderate,moderate,strong,weak,broad,resistant,moderate,moderate,frequent,none
search_001,0,13870,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,0.3,True,0.38745078684412804,0.550781717556042,0.16333093071191396,0.6933205503850062,0.7721981599416554,0.07887760955664924,0.7406087500751197,0.5718967140446968,0.0,0.0,0.0,0,0.5427269147579745,0.6466666666666666,0.3958744588744587,weak,moderate,moderate,moderate,strong,narrow,moderate,strong,moderate,infrequent,moderate
search_001,1,14870,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,0.3,True,0.38745078684412804,0.5926461070911409,0.2051953202470128,0.6933205503850062,0.801083387584996,0.1077628371999898,0.7682722266416391,0.615450117905552,0.0,0.0,0.0,0,0.5624345177177755,0.6466666666666666,0.3809682539682539,weak,moderate,moderate,moderate,strong,narrow,moderate,strong,moderate,infrequent,moderate
search_001,2,15870,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,0.3,True,0.38745078684412804,0.5722232618715783,0.1847724750274503,0.6933205503850062,0.7892797958968268,0.09595924551182067,0.7543711509753137,0.5954099080722499,0.0,0.0,0.0,0,0.5585880470499974,0.6466666666666666,0.3975714285714287,weak,moderate,moderate,moderate,strong,narrow,moderate,strong,moderate,infrequent,moderate
search_001,3,16870,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,0.3,True,0.38745078684412804,0.5716361236257071,0.1841853367815791,0.6933205503850062,0.7879167630511275,0.09459621266612128,0.7542276108542719,0.5942685777480833,0.0,0.0,0.0,0,0.5488386191715675,0.6466666666666666,0.3932777777777778,weak,moderate,moderate,moderate,strong,narrow,moderate,strong,moderate,infrequent,moderate
search_001,4,17870,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,0.3,True,0.38745078684412804,0.6073235915665571,0.2198728047224291,0.6933205503850062,0.8186961823666662,0.12537563198166002,0.7765915195916016,0.6357925123479723,0.0,0.0,0.0,0,0.5678590776459768,0.6466666666666666,0.38279365079365085,weak,moderate,moderate,moderate,strong,narrow,moderate,strong,moderate,infrequent,moderate
search_001,5,18870,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,0.3,True,0.38745078684412804,0.5470819237706788,0.15963113692655073,0.6933205503850062,0.7813816364830539,0.08806108609804775,0.7351338671557831,0.5744201041523017,0.01,0.01,0.01,1,0.5402147499953915,0.6533333333333333,0.3937142857142856,weak,moderate,moderate,moderate,strong,narrow,moderate,strong,moderate,infrequent,moderate
search_001,6,19870,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,0.3,True,0.38745078684412804,0.5977280677648595,0.2102772809207315,0.6933205503850062,0.8082545282058596,0.11493397782085346,0.771027472069109,0.6231864456709744,0.0,0.0,0.0,0,0.5648954964225003,0.6466666666666666,0.3763571428571428,weak,moderate,moderate,moderate,strong,narrow,moderate,strong,moderate,infrequent,moderate
search_001,7,20870,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,0.3,True,0.38745078684412804,0.5895968975251646,0.2021461106810366,0.6933205503850062,0.8018614143547299,0.10854086396972373,0.7656891143493163,0.6139765561881633,0.0,0.0,0.0,0,0.5613038453341547,0.6466666666666666,0.379063492063492,weak,moderate,moderate,moderate,strong,narrow,moderate,strong,moderate,infrequent,moderate
search_002,0,13871,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,0.5,True,0.38745078684412804,0.49384907888247875,0.10639829203835072,0.6933205503850062,0.7792997390786701,0.08597918869366394,0.6768756859943852,0.5274890454841202,0.08,0.08,0.08,1,0.40915977462377495,0.7533333333333333,0.40208730158730177,moderate,none,high,weak,moderate,broad,resistant,moderate,moderate,infrequent,strong
search_002,1,14871,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,0.5,True,0.38745078684412804,0.5311506668851748,0.14369988004104672,0.6933205503850062,0.7870115503675068,0.09369099998250063,0.7156577531657401,0.5632309178514956,0.07,0.07,0.07,1,0.430178740662054,0.7551020408163265,0.35867460317460315,moderate,none,high,weak,moderate,broad,resistant,moderate,moderate,infrequent,strong
search_002,2,15871,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,0.5,True,0.38745078684412804,0.42952296675012197,0.042072179905993934,0.6933205503850062,0.7349317221100335,0.041611171725027374,0.627588207295566,0.461234481963679,0.09,0.09,0.09,1,0.42805157906673136,0.7266666666666667,0.38862698412698404,moderate,none,high,weak,moderate,broad,resistant,moderate,moderate,infrequent,strong
search_002,3,16871,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,0.5,True,0.38745078684412804,0.45038997436599826,0.06293918752187022,0.6933205503850062,0.7476453037458157,0.05432475336080955,0.6474230014507502,0.4840427665716738,0.08,0.08,0.08,1,0.42709677119631495,0.7431506849315068,0.39869047619047615,moderate,none,high,weak,moderate,broad,resistant,moderate,moderate,infrequent,strong
