condition,mean_beta,popularity_strength,exploration,mu_content,mu_social,mean_epsilon,mean_susceptibility,homophily_strength,rewiring_fraction,rewire_interval,dynamic_stubbornness,consolidation_strength,polarization_mean,polarization_std,ever_flip_mean,persistent_flip_mean,crossing_mean,final_variance_mean,final_extremity_mean,edge_distance_mean,same_side_edge_mean,clustering_mean
search_000,1.0,0.5,0.1,0.45,0.05,0.95,0.25,3.0,0.04,10,False,0.0,0.446852128449276,0.007276572070685619,0.035,0.01625,0.13875,0.4218710708369143,0.6330059313303924,0.16422197669020627,0.9367800537346095,0.20902615440115432
search_001,1.0,0.5,0.1,0.25,0.35,0.3,0.45,6.0,0.04,40,True,0.3,0.6030501170162492,0.022917191478096687,0.00125,0.00125,0.00125,0.5786272113464661,0.7582402139640193,0.5558576585119173,0.6475,0.3874525613275613
search_002,4.0,0.0,0.35,0.1,0.15,0.95,0.25,3.0,0.04,40,True,0.5,0.5075056361658636,0.031177542773948456,0.0825,0.0825,0.0825,0.47404493043776036,0.6654271064115985,0.41339538153082467,0.7451982573851458,0.3834355158730158
search_003,1.0,0.5,0.35,0.25,0.05,0.3,0.65,0.5,0.1,10,False,0.0,0.5348230555563422,0.011354335378437115,0.00125,0.0,0.0025,0.5094171168162762,0.7099318172437274,0.11725228927431297,0.955,0.15741758241758236
search_004,4.0,0.0,0.02,0.1,0.15,0.95,0.45,6.0,0.01,10,True,0.3,0.4390288206474752,0.04007768101292475,0.13125,0.13125,0.13125,0.4083161614311904,0.6216673355734885,0.2771775174009272,0.8231626848691695,0.37493299062049046
search_005,8.0,0.5,0.02,0.1,0.05,0.55,0.65,0.5,0.04,20,True,0.5,0.6484132713001285,0.005487319490859726,0.0025,0.0025,0.0025,0.6231437392966855,0.7860940846859904,0.5100162188829753,0.6952510831112566,0.26975514069264045
search_006,4.0,0.0,0.1,0.25,0.35,0.55,0.25,3.0,0.01,20,False,0.0,0.5674139323935593,0.01583815734237472,0.01375,0.01375,0.01375,0.5435569524350669,0.7339484864525142,0.5694474020793924,0.63,0.4084841269841269
search_007,8.0,1.5,0.35,0.25,0.05,0.3,0.25,0.5,0.1,40,False,0.0,0.5721368672645499,0.012452819483773168,0.0,0.0,0.0,0.5405320191788976,0.7297428112891513,0.5236754383742611,0.6770833333333334,0.27881259018758997
search_008,4.0,0.5,0.02,0.45,0.35,0.95,0.25,3.0,0.01,40,False,0.0,0.39088293230005294,0.016834468093999896,0.07625,0.07625,0.08375,0.3632505101308115,0.5880377246689367,0.41385743856989177,0.6858163265306122,0.4570734126984128
search_009,4.0,0.5,0.02,0.25,0.35,0.95,0.25,0.5,0.01,40,True,0.3,0.4013305594556689,0.04867615031351964,0.14875,0.14750000000000002,0.15,0.3732148089819415,0.5885585759493671,0.3606508309275851,0.7545090841214535,0.4543700396825398
search_010,4.0,0.5,0.02,0.25,0.05,0.95,0.45,0.5,0.04,20,True,0.5,0.5230614817752912,0.015832403883428502,0.0,0.0,0.0,0.49778380113440157,0.7009521515799765,0.4814153093915263,0.6820833333333334,0.2706170634920633
